0,sex,leg length in m,Mass in Kg, vmax in ms^-1?,recorded walking in ms^-1?,Froude number,normal-speed mean maximum pelvic tilt angle,fast-speed mean maximum pelvic tilt angle
1,Female,0.83,60.00,2.85,1.29,0.45,5.68,5.15
2,Female,0.84,58.25,2.87,1.61,0.56,7.77,8.99
3,Female,0.86,56.70,2.91,1.35,0.46,3.19,4.35
4,Female,0.88,47.63,2.94,1.12,0.38,5.64,7.48
5,Female,0.88,55.30,2.94,1.96,0.67,8.17,9.45
6,Male,0.89,77.11,2.95,1.20,0.41,2.17,6.72
7,Female,0.89,56.69,2.95,1.21,0.41,8.77,10.65
8,Female,0.90,52.16,2.97,0.93,0.31,5.65,7.08
9,Male,0.91,74.80,2.98,1.58,0.53,5.08,5.01
10,Female,0.91,58.97,2.99,1.67,0.56,6.85,7.23
11,Female,0.92,43.09,3.00,1.54,0.60,3.22,5.39
12,Male,0.93,79.38,3.01,0.83,0.28,4.47,4.38
13,Female,0.93,70.30,3.02,1.21,0.40,5.91,6.70
14,Female,0.93,61.23,3.02,1.23,0.41,5.77,5.80
15,Male,0.94,64.40,3.04,1.33,0.42,9.10,9.90
16,Female,0.94,53.00,3.04,1.62,0.53,7.48,7.78
17,Male,0.95,63.50,3.05,1.47,0.48,5.69,6.60
18,Male,0.95,81.60,3.05,1.59,0.52,5.41,8.33
19,Male,0.96,71.67,3.07,1.56,0.51,6.40,6.10
20,Male,0.96,65.80,3.07,1.79,0.58,6.10,6.30
21,Male,0.96,54.40,3.07,1.81,0.59,5.55,6.67
22,Male,0.97,70.30,3.08,1.19,0.39,7.21,8.89
23,Male,0.97,74.80,3.08,1.86,0.51,3.94,5.32
24,Male,0.97,93.50,3.09,1.49,0.48,5.58,5.30
25,Male,0.97,68.00,3.083180176,1.63,0.5286749093,10.89,11.66
26,Male,0.98,64.40,3.09,1.34,0.43,6.12,7.73
27,Male,0.98,81.60,3.10,0.80,0.25,10.90,11.40
28,Male,0.98,56.70,3.10,1.10,0.36,9.03,10.50
29,Female,1.00,65.70,3.13,0.69,0.22,6.19,8.81
30,Male,1.00,65.77,3.13,0.71,0.23,6.21,7.60
31,Male,1.00,86.18,3.13,2.13,0.54,6.08,7.03
32,Female,1.01,52.16,3.14,0.80,0.26,5.00,4.90
33,Male,1.01,71.20,3.15,1.31,0.41,9.20,9.05
