Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	α [deg]	Δα [deg]
1	1	1	519	771	0	22	0	0	NA	NA	NA	NA	NA
2	1	2	519	774	0	27.7	3	3	NA	3	NA	90	NA
3	1	3	519	774	0	15	3	3	NA	0	NA	0	-90
4	1	4	519	774	0	17.6	3	3	NA	0	NA	0	0
5	1	5	519	774	0	16.6	3	3	NA	0	NA	0	0
6	1	6	519	774	0	19.9	3	3	NA	0	NA	0	0
7	1	7	519	774	0	25.9	3	3	NA	0	NA	0	0
8	1	8	519	774	0	31.6	3	3	NA	0	NA	0	0
9	1	9	519	774	0	39.7	3	3	NA	0	NA	0	0
10	1	10	519	774	0	37.6	3	3	NA	0	NA	0	0
11	1	11	519	774	0	24.6	3	3	NA	0	NA	0	0
12	1	12	519	774	0	25.7	3	3	NA	0	NA	0	0
13	1	13	519	774	0	38.6	3	3	NA	0	NA	0	0
14	1	14	519	774	0	62.7	3	3	NA	0	NA	0	0
15	1	15	519	774	0	151.6	3	3	NA	0	NA	0	0
16	1	16	519	774	0	175.7	3	3	NA	0	NA	0	0
17	1	17	519	774	0	202.6	3	3	NA	0	NA	0	0
18	1	18	519	774	0	201.6	3	3	NA	0	NA	0	0
19	1	19	519	783	0	1	12	12	NA	9	NA	90	90
20	1	20	519	774	0	173.6	21	3	NA	9	NA	-90	-180
21	1	21	522	774	0	171	24	4.243	NA	3	NA	0	90
22	1	22	531	774	0	34.7	33	12.369	NA	9	NA	0	0
23	1	23	531	774	0	89.7	33	12.369	NA	0	NA	0	0
24	1	24	531	774	0	124.6	33	12.369	NA	0	NA	0	0
25	1	25	531	774	0	124.6	33	12.369	NA	0	NA	0	0
26	1	26	531	774	0	130.6	33	12.369	NA	0	NA	0	0
27	1	27	531	774	0	132.7	33	12.369	NA	0	NA	0	0
28	1	28	531	774	0	147.7	33	12.369	NA	0	NA	0	0
29	1	29	537	777	0	52.6	39.708	18.974	NA	6.708	NA	26.565	26.565
30	1	30	537	777	0	65.2	39.708	18.974	NA	0	NA	0	-26.565
31	1	31	537	777	0	64.2	39.708	18.974	NA	0	NA	0	0
32	1	32	537	777	0	61.9	39.708	18.974	NA	0	NA	0	0
33	1	33	537	777	0	58.2	39.708	18.974	NA	0	NA	0	0
34	1	34	537	777	0	53.9	39.708	18.974	NA	0	NA	0	0
35	1	35	540	780	0	57.2	43.951	22.847	NA	4.243	NA	45	45
36	1	36	540	780	0	39.9	43.951	22.847	NA	0	NA	0	-45
37	1	37	540	780	0	41.9	43.951	22.847	NA	0	NA	0	0
38	1	38	540	780	0	32.9	43.951	22.847	NA	0	NA	0	0
39	1	39	540	783	0	89.9	46.951	24.187	NA	3	NA	90	90
40	1	40	540	786	0	201.4	49.951	25.807	NA	3	NA	90	0
41	1	41	540	786	0	199.4	49.951	25.807	NA	0	NA	0	-90
42	1	42	540	786	0	202.5	49.951	25.807	NA	0	NA	0	0
43	1	43	540	780	0	74.2	55.951	22.847	NA	6	NA	-90	-90
44	1	44	540	786	0	143.4	61.951	25.807	NA	6	NA	90	180
45	1	45	540	783	0	68.9	64.951	24.187	NA	3	NA	-90	-180
46	1	46	540	783	0	74.2	64.951	24.187	NA	0	NA	0	90
47	1	47	540	783	0	61.9	64.951	24.187	NA	0	NA	0	0
48	1	48	540	783	0	59.2	64.951	24.187	NA	0	NA	0	0
49	1	49	540	783	0	58.2	64.951	24.187	NA	0	NA	0	0
50	1	50	540	783	0	62.9	64.951	24.187	NA	0	NA	0	0
51	1	51	540	783	0	62.9	64.951	24.187	NA	0	NA	0	0
52	1	52	540	783	0	44.2	64.951	24.187	NA	0	NA	0	0
53	1	53	540	786	0	66.2	67.951	25.807	NA	3	NA	90	90
54	1	54	540	786	0	58.2	67.951	25.807	NA	0	NA	0	-90
55	1	55	540	786	0	53.9	67.951	25.807	NA	0	NA	0	0
56	1	56	540	786	0	58.2	67.951	25.807	NA	0	NA	0	0
57	1	57	540	786	0	75.9	67.951	25.807	NA	0	NA	0	0
58	1	58	540	786	0	78.2	67.951	25.807	NA	0	NA	0	0
59	1	59	540	786	0	74.2	67.951	25.807	NA	0	NA	0	0
60	1	60	540	786	0	62.9	67.951	25.807	NA	0	NA	0	0
61	1	61	540	786	0	48.9	67.951	25.807	NA	0	NA	0	0
62	1	62	540	786	0	33.9	67.951	25.807	NA	0	NA	0	0
63	1	63	540	786	0	50.2	67.951	25.807	NA	0	NA	0	0
64	1	64	540	786	0	129.2	67.951	25.807	NA	0	NA	0	0
65	1	65	540	786	0	154.9	67.951	25.807	NA	0	NA	0	0
66	1	66	540	786	0	80.2	67.951	25.807	NA	0	NA	0	0
67	1	67	540	786	0	38.8	67.951	25.807	NA	0	NA	0	0
68	1	68	540	786	0	36.2	67.951	25.807	NA	0	NA	0	0
69	1	69	540	786	0	40.9	67.951	25.807	NA	0	NA	0	0
70	1	70	540	786	0	38.2	67.951	25.807	NA	0	NA	0	0
71	1	71	543	789	0	35.2	72.193	30	NA	4.243	NA	45	45
72	1	72	543	792	0	50.3	75.193	31.89	NA	3	NA	90	45
73	1	73	543	792	0	45.6	75.193	31.89	NA	0	NA	0	-90
74	1	74	543	798	0	68.5	81.193	36.125	NA	6	NA	90	90
75	1	75	543	798	0	25.9	81.193	36.125	NA	0	NA	0	-90
76	1	76	546	804	0	99.4	87.902	42.638	NA	6.708	NA	63.435	63.435
77	1	77	546	804	0	67.2	87.902	42.638	NA	0	NA	0	-63.435
78	1	78	549	810	0	175.5	94.61	49.204	NA	6.708	NA	63.435	63.435
79	1	79	552	810	0	198.1	97.61	51.088	NA	3	NA	0	-63.435
80	1	80	540	804	0	134.9	111.026	39.115	NA	13.416	NA	-153.435	-153.435
81	1	81	546	813	0	201.4	121.843	49.93	NA	10.817	NA	56.31	-150.255
82	1	82	546	813	0	204.5	121.843	49.93	NA	0	NA	0	-56.31
83	1	83	540	804	0	28.2	132.66	39.115	NA	10.817	NA	-123.69	-123.69
84	1	84	540	801	0	17.4	135.66	36.62	NA	3	NA	-90	33.69
85	1	85	540	801	0	57.3	135.66	36.62	NA	0	NA	0	90
86	1	86	540	798	0	58.4	138.66	34.205	NA	3	NA	-90	-90
87	1	87	540	804	0	121.4	144.66	39.115	NA	6	NA	90	180
88	1	88	540	804	0	118.5	144.66	39.115	NA	0	NA	0	-90
89	1	89	540	804	0	88.2	144.66	39.115	NA	0	NA	0	0
90	1	90	540	807	0	83.8	147.66	41.677	NA	3	NA	90	90
91	1	91	540	810	0	26.8	150.66	44.294	NA	3	NA	90	0
92	1	92	540	813	0	108.4	153.66	46.957	NA	3	NA	90	0
93	1	93	540	813	0	128.2	153.66	46.957	NA	0	NA	0	-90
94	1	94	540	816	0	67.7	156.66	49.659	NA	3	NA	90	90
95	1	95	540	816	0	111.8	156.66	49.659	NA	0	NA	0	-90
96	1	96	540	816	0	87	156.66	49.659	NA	0	NA	0	0
97	1	97	540	816	0	109.2	156.66	49.659	NA	0	NA	0	0
98	1	98	540	813	0	55	159.66	46.957	NA	3	NA	-90	-90
99	1	99	540	810	0	66.4	162.66	44.294	NA	3	NA	-90	0
100	1	100	540	807	0	22.4	165.66	41.677	NA	3	NA	-90	0
101	1	101	540	807	0	30.4	165.66	41.677	NA	0	NA	0	90
102	1	102	540	810	0	59.4	168.66	44.294	NA	3	NA	90	90
103	1	103	540	810	0	46.8	168.66	44.294	NA	0	NA	0	-90
104	1	104	540	810	0	25.8	168.66	44.294	NA	0	NA	0	0
105	1	105	540	810	0	53.8	168.66	44.294	NA	0	NA	0	0
106	1	106	540	810	0	61.8	168.66	44.294	NA	0	NA	0	0
107	1	107	540	819	0	72.4	177.66	52.393	NA	9	NA	90	90
108	1	108	540	819	0	58.4	177.66	52.393	NA	0	NA	0	-90
109	1	109	540	822	0	54.8	180.66	55.154	NA	3	NA	90	90
110	1	110	549	837	0	0	198.152	72.498	NA	17.493	NA	59.036	-30.964
111	1	111	540	816	0	69.8	221	49.659	NA	22.847	NA	-113.199	-172.235
112	1	112	540	819	0	30.4	224	52.393	NA	3	NA	90	-156.801
113	1	113	540	816	0	53.8	227	49.659	NA	3	NA	-90	-180
114	1	114	540	816	0	26.6	227	49.659	NA	0	NA	0	90
115	1	115	540	816	0	18.6	227	49.659	NA	0	NA	0	0
116	1	116	540	816	0	27	227	49.659	NA	0	NA	0	0
117	1	117	540	816	0	15.4	227	49.659	NA	0	NA	0	0
118	1	118	540	819	0	23	230	52.393	NA	3	NA	90	90
119	1	119	540	819	0	19.8	230	52.393	NA	0	NA	0	-90
120	1	120	540	828	0	99.8	239	60.745	NA	9	NA	90	90
121	1	121	540	828	0	28.8	239	60.745	NA	0	NA	0	-90
122	1	122	540	840	0	27.8	251	72.125	NA	12	NA	90	90
123	1	123	540	840	0	101.5	251	72.125	NA	0	NA	0	-90
124	1	124	540	843	0	96.4	254	75	NA	3	NA	90	90
125	1	125	537	846	0	95	258.242	77.13	NA	4.243	NA	135	45
126	1	126	537	846	0	91.8	258.242	77.13	NA	0	NA	0	-135
127	1	127	540	846	0	33.8	261.242	77.885	NA	3	NA	0	0
128	1	128	540	846	0	232.6	261.242	77.885	NA	0	NA	0	0
129	1	129	540	837	0	90.6	270.242	69.26	NA	9	NA	-90	-90
130	1	130	540	834	0	109.5	273.242	66.408	NA	3	NA	-90	0
131	1	131	540	834	0	147.8	273.242	66.408	NA	0	NA	0	90
132	1	132	540	837	0	81.5	276.242	69.26	NA	3	NA	90	90
133	1	133	540	840	0	87.2	279.242	72.125	NA	3	NA	90	0
134	1	134	540	840	0	61.8	279.242	72.125	NA	0	NA	0	-90
135	1	135	540	849	0	97.6	288.242	80.777	NA	9	NA	90	90
136	1	136	540	852	0	112	291.242	83.678	NA	3	NA	90	0
137	1	137	540	852	0	88.4	291.242	83.678	NA	0	NA	0	-90
138	1	138	540	858	0	89.6	297.242	89.499	NA	6	NA	90	90
139	1	139	540	858	0	118.8	297.242	89.499	NA	0	NA	0	-90
140	1	140	540	858	0	138.2	297.242	89.499	NA	0	NA	0	0
141	1	141	540	858	0	150.1	297.242	89.499	NA	0	NA	0	0
142	1	142	540	858	0	110.4	297.242	89.499	NA	0	NA	0	0
143	1	143	540	852	0	78.9	303.242	83.678	NA	6	NA	-90	-90
144	1	144	540	852	0	51.9	303.242	83.678	NA	0	NA	0	90
145	1	145	540	852	0	104.9	303.242	83.678	NA	0	NA	0	0
146	1	146	540	852	0	160.4	303.242	83.678	NA	0	NA	0	0
147	1	147	540	852	0	117.2	303.242	83.678	NA	0	NA	0	0
148	1	148	537	855	0	55.8	307.485	85.907	NA	4.243	NA	135	135
149	1	149	534	867	0	167.6	319.854	97.165	NA	12.369	NA	104.036	-30.964
150	1	150	534	867	0	152.8	319.854	97.165	NA	0	NA	0	-104.036
151	1	151	528	876	0	75.4	330.671	105.385	NA	10.817	NA	123.69	123.69
152	1	152	537	882	0	118.5	341.488	112.45	NA	10.817	NA	33.69	-90
153	1	153	531	888	0	74.8	349.973	117.614	NA	8.485	NA	135	101.31
154	1	154	531	894	0	171.9	355.973	123.584	NA	6	NA	90	-45
155	1	155	537	891	0	51.3	362.681	121.342	NA	6.708	NA	-26.565	-116.565
156	1	156	540	888	0	89.2	366.924	118.87	NA	4.243	NA	-45	-18.435
157	1	157	540	888	0	82.4	366.924	118.87	NA	0	NA	0	45
158	1	158	537	882	0	67.5	373.632	112.45	NA	6.708	NA	-116.565	-116.565
159	1	159	537	879	0	96.3	376.632	109.49	NA	3	NA	-90	26.565
160	1	160	537	873	0	62.4	382.632	103.576	NA	6	NA	-90	0
161	1	161	537	873	0	62.4	382.632	103.576	NA	0	NA	0	90
162	1	162	537	876	0	100.3	385.632	106.532	NA	3	NA	90	90
163	1	163	537	876	0	64.9	385.632	106.532	NA	0	NA	0	-90
164	1	164	534	897	0	123	406.845	126.89	NA	21.213	NA	98.13	98.13
165	1	165	534	900	0	102.2	409.845	129.869	NA	3	NA	90	-8.13
166	1	166	531	912	0	91.5	422.215	141.51	NA	12.369	NA	104.036	14.036
167	1	167	531	915	0	124.7	425.215	144.499	NA	3	NA	90	-14.036
168	1	168	531	915	0	109.7	425.215	144.499	NA	0	NA	0	-90
169	1	169	531	915	0	62.9	425.215	144.499	NA	0	NA	0	0
170	1	170	528	924	0	73.2	434.701	153.264	NA	9.487	NA	108.435	108.435
171	1	171	528	924	0	94	434.701	153.264	NA	0	NA	0	-108.435
172	1	172	522	924	0	82.3	440.701	153.029	NA	6	NA	180	180
173	1	173	522	924	0	129	440.701	153.029	NA	0	NA	0	-180
174	1	174	522	924	0	99.7	440.701	153.029	NA	0	NA	0	0
175	1	175	507	924	0	48.6	455.701	153.47	NA	15	NA	180	180
176	1	176	507	924	0	112.6	455.701	153.47	NA	0	NA	0	-180
177	1	177	507	924	0	128.1	455.701	153.47	NA	0	NA	0	0
178	1	178	507	924	0	78.7	455.701	153.47	NA	0	NA	0	0
179	1	179	501	951	0	86.8	483.36	180.898	NA	27.659	NA	102.529	102.529
180	1	180	501	951	0	145.3	483.36	180.898	NA	0	NA	0	-102.529
181	1	181	501	957	0	181.3	489.36	186.869	NA	6	NA	90	90
182	1	182	501	960	0	77.7	492.36	189.855	NA	3	NA	90	0
183	1	183	492	975	0	196.8	509.853	205.779	NA	17.493	NA	120.964	30.964
184	1	184	486	981	0	125.8	518.338	212.577	NA	8.485	NA	135	14.036
185	1	185	474	981	0	77.8	530.338	214.767	NA	12	NA	180	45
186	1	186	474	981	0	171.8	530.338	214.767	NA	0	NA	0	-180
187	1	187	465	984	0	87.2	539.825	219.738	NA	9.487	NA	161.565	161.565
188	2	1	428.667	781.333	0	189.5	0	0	NA	NA	NA	NA	NA
189	2	2	428.667	773.333	0	88.2	8	8	NA	8	NA	-90	NA
190	2	3	428.667	773.333	0	87.4	8	8	NA	0	NA	0	90
191	2	4	427.333	769.333	0	37	12.216	12.074	NA	4.216	NA	-108.435	-108.435
192	2	5	427.333	769.333	0	44.1	12.216	12.074	NA	0	NA	0	108.435
193	2	6	427.333	769.333	0	51.1	12.216	12.074	NA	0	NA	0	0
194	2	7	427.333	769.333	0	57.1	12.216	12.074	NA	0	NA	0	0
195	2	8	427.333	769.333	0	46.5	12.216	12.074	NA	0	NA	0	0
196	2	9	427.333	769.333	0	46.5	12.216	12.074	NA	0	NA	0	0
197	2	10	427.333	769.333	0	46.5	12.216	12.074	NA	0	NA	0	0
198	2	11	427.333	769.333	0	31.4	12.216	12.074	NA	0	NA	0	0
199	2	12	427.333	769.333	0	14.1	12.216	12.074	NA	0	NA	0	0
200	2	13	427.333	769.333	0	21.9	12.216	12.074	NA	0	NA	0	0
201	2	14	427.333	769.333	0	33.9	12.216	12.074	NA	0	NA	0	0
202	2	15	427.333	769.333	0	75.5	12.216	12.074	NA	0	NA	0	0
203	2	16	427.333	776	0	203.5	18.883	5.497	NA	6.667	NA	90	90
204	2	17	427.333	777.333	0	206.1	20.216	4.216	NA	1.333	NA	90	0
205	2	18	427.333	777.333	0	187.8	20.216	4.216	NA	0	NA	0	-90
