Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	α [deg]	Δα [deg]
1	1	1	512	834	0	33.9	0	0	NA	NA	NA	NA	NA
2	1	2	512	834	0	55.9	0	0	NA	0	NA	0	NA
3	1	3	510	836	0	223.5	2.828	2.828	NA	2.828	NA	135	135
4	1	4	510	836	0	221.5	2.828	2.828	NA	0	NA	0	-135
5	1	5	510	836	0	228.1	2.828	2.828	NA	0	NA	0	0
6	1	6	502	836	0	176.1	10.828	10.198	NA	8	NA	180	180
7	1	7	502	836	0	124.3	10.828	10.198	NA	0	NA	0	-180
8	1	8	502	836	0	94.3	10.828	10.198	NA	0	NA	0	0
9	1	9	502	836	0	127.9	10.828	10.198	NA	0	NA	0	0
10	1	10	502	836	0	206.9	10.828	10.198	NA	0	NA	0	0
11	1	11	502	836	0	216.3	10.828	10.198	NA	0	NA	0	0
12	1	12	502	836	0	219.9	10.828	10.198	NA	0	NA	0	0
13	1	13	502	836	0	60.8	10.828	10.198	NA	0	NA	0	0
14	1	14	502	836	0	78.9	10.828	10.198	NA	0	NA	0	0
15	1	15	506	848	0	211.9	23.478	15.232	NA	12.649	NA	71.565	71.565
16	1	16	506	848	0	215.2	23.478	15.232	NA	0	NA	0	-71.565
17	1	17	504	848	0	155.9	25.478	16.125	NA	2	NA	180	180
18	1	18	504	848	0	219.9	25.478	16.125	NA	0	NA	0	-180
19	1	19	504	842	0	98.9	31.478	11.314	NA	6	NA	-90	-90
20	1	20	504	838	0	89.7	35.478	8.944	NA	4	NA	-90	0
21	1	21	504	836	0	43.1	37.478	8.246	NA	2	NA	-90	0
22	1	22	502	836	0	185.1	39.478	10.198	NA	2	NA	180	-90
23	1	23	502	836	0	222.4	39.478	10.198	NA	0	NA	0	-180
24	1	24	504	836	0	184.1	41.478	8.246	NA	2	NA	0	0
25	1	25	514	836	0	100.1	51.478	2.828	NA	10	NA	0	0
26	1	26	512	836	0	28.2	53.478	2	NA	2	NA	180	180
27	1	27	510	838	0	56.1	56.306	4.472	NA	2.828	NA	135	-45
28	1	28	510	844	0	45.4	62.306	10.198	NA	6	NA	90	-45
29	1	29	510	844	0	47.9	62.306	10.198	NA	0	NA	0	-90
30	1	30	512	856	0	23.1	74.471	22	NA	12.166	NA	80.538	80.538
31	1	31	520	858	0	147.9	82.718	25.298	NA	8.246	NA	14.036	-66.501
32	1	32	520	858	0	174.5	82.718	25.298	NA	0	NA	0	-14.036
33	1	33	518	858	0	193.4	84.718	24.739	NA	2	NA	180	180
34	1	34	518	858	0	221.4	84.718	24.739	NA	0	NA	0	-180
35	1	35	518	858	0	225.5	84.718	24.739	NA	0	NA	0	0
36	1	36	518	858	0	160.5	84.718	24.739	NA	0	NA	0	0
37	1	37	510	854	0	223.4	93.662	20.1	NA	8.944	NA	-153.435	-153.435
38	1	38	514	856	0	97.5	98.134	22.091	NA	4.472	NA	26.565	180
39	1	39	514	858	0	0	100.134	24.083	NA	2	NA	90	63.435
40	1	40	514	858	0	236.4	100.134	24.083	NA	0	NA	0	-90
41	1	41	516	864	0	28	106.459	30.265	NA	6.325	NA	71.565	71.565
42	1	42	518	868	0	163.4	110.931	34.525	NA	4.472	NA	63.435	-8.13
43	1	43	518	872	0	238.5	114.931	38.471	NA	4	NA	90	26.565
44	1	44	518	872	0	186.4	114.931	38.471	NA	0	NA	0	-90
