Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	α [deg]	Δα [deg]
1	1	1	555	711	0	194.4	0	0	NA	NA	NA	NA	NA
2	1	2	555	714	0	35.9	3	3	NA	3	NA	90	NA
3	1	3	543	720	0	2.4	16.416	15	NA	13.416	NA	153.435	63.435
4	1	4	543	714	0	182.7	22.416	12.369	NA	6	NA	-90	116.565
5	1	5	549	714	0	212.9	28.416	6.708	NA	6	NA	0	90
6	1	6	543	705	0	169.7	39.233	13.416	NA	10.817	NA	-123.69	-123.69
7	1	7	540	711	0	192.3	45.941	15	NA	6.708	NA	116.565	-119.745
8	1	8	534	711	0	148.2	51.941	21	NA	6	NA	180	63.435
9	1	9	534	711	0	145.5	51.941	21	NA	0	NA	0	-180
10	1	10	537	702	0	5.7	61.428	20.125	NA	9.487	NA	-71.565	-71.565
11	1	11	537	702	0	4.7	61.428	20.125	NA	0	NA	0	71.565
12	1	12	540	693	0	4.7	70.915	23.431	NA	9.487	NA	-71.565	-71.565
13	1	13	543	693	0	1	73.915	21.633	NA	3	NA	0	71.565
14	1	14	543	702	0	4.7	82.915	15	NA	9	NA	90	90
15	1	15	543	714	0	187.4	94.915	12.369	NA	12	NA	90	0
16	1	16	546	723	0	1.5	104.402	15	NA	9.487	NA	71.565	-18.435
17	1	17	552	726	0	2.4	111.11	15.297	NA	6.708	NA	26.565	-45
18	1	18	552	726	0	1.5	111.11	15.297	NA	0	NA	0	-26.565
19	1	19	549	720	0	204.9	117.818	10.817	NA	6.708	NA	-116.565	-116.565
20	1	20	546	717	0	173.4	122.061	10.817	NA	4.243	NA	-135	-18.435
21	1	21	546	714	0	187.6	125.061	9.487	NA	3	NA	-90	45
22	1	22	546	714	0	195.7	125.061	9.487	NA	0	NA	0	90
23	1	23	546	714	0	201.6	125.061	9.487	NA	0	NA	0	0
24	1	24	540	720	0	89.8	133.546	17.493	NA	8.485	NA	135	135
25	1	25	537	720	0	176.2	136.546	20.125	NA	3	NA	180	45
26	1	26	537	720	0	175.1	136.546	20.125	NA	0	NA	0	-180
27	1	27	534	720	0	184.2	139.546	22.847	NA	3	NA	180	180
28	1	28	534	720	0	179.2	139.546	22.847	NA	0	NA	0	-180
29	1	29	534	720	0	181.7	139.546	22.847	NA	0	NA	0	0
30	1	30	534	717	0	167.6	142.546	21.84	NA	3	NA	-90	-90
31	1	31	534	720	0	134.1	145.546	22.847	NA	3	NA	90	180
32	1	32	540	732	0	2.4	158.963	25.807	NA	13.416	NA	63.435	-26.565
33	1	33	540	732	0	2.6	158.963	25.807	NA	0	NA	0	-63.435
34	1	34	537	726	0	1	165.671	23.431	NA	6.708	NA	-116.565	-116.565
35	1	35	537	723	0	8	168.671	21.633	NA	3	NA	-90	26.565
36	1	36	537	723	0	8.4	168.671	21.633	NA	0	NA	0	90
37	1	37	537	723	0	5.5	168.671	21.633	NA	0	NA	0	0
38	1	38	537	723	0	0.6	168.671	21.633	NA	0	NA	0	0
39	1	39	537	723	0	19.7	168.671	21.633	NA	0	NA	0	0
40	1	40	537	723	0	96.8	168.671	21.633	NA	0	NA	0	0
41	1	41	537	723	0	181.8	168.671	21.633	NA	0	NA	0	0
42	1	42	537	723	0	187.5	168.671	21.633	NA	0	NA	0	0
43	1	43	537	723	0	186.5	168.671	21.633	NA	0	NA	0	0
44	1	44	537	723	0	188.8	168.671	21.633	NA	0	NA	0	0
45	1	45	534	717	0	66.4	175.379	21.84	NA	6.708	NA	-116.565	-116.565
46	1	46	531	717	0	1.5	178.379	24.739	NA	3	NA	180	-63.435
47	1	47	531	708	0	3.6	187.379	24.187	NA	9	NA	-90	90
48	1	48	531	723	0	199.5	202.379	26.833	NA	15	NA	90	180
49	1	49	531	729	0	222.3	208.379	30	NA	6	NA	90	0
50	1	50	531	729	0	208.3	208.379	30	NA	0	NA	0	-90
51	1	51	531	723	0	204.1	214.379	26.833	NA	6	NA	-90	-90
52	1	52	531	723	0	205.1	214.379	26.833	NA	0	NA	0	90
53	1	53	531	717	0	3	220.379	24.739	NA	6	NA	-90	-90
54	1	54	531	717	0	5.7	220.379	24.739	NA	0	NA	0	90
55	1	55	531	717	0	16	220.379	24.739	NA	0	NA	0	0
56	1	56	531	717	0	24	220.379	24.739	NA	0	NA	0	0
57	1	57	528	717	0	1	223.379	27.659	NA	3	NA	180	180
58	1	58	528	738	0	1.5	244.379	38.184	NA	21	NA	90	-90
59	1	59	528	726	0	49.9	256.379	30.887	NA	12	NA	-90	-180
60	1	60	528	726	0	3.9	256.379	30.887	NA	0	NA	0	90
61	1	61	528	726	0	1.2	256.379	30.887	NA	0	NA	0	0
62	1	62	528	723	0	10	259.379	29.547	NA	3	NA	-90	-90
63	1	63	528	732	0	44.3	268.379	34.205	NA	9	NA	90	180
64	1	64	525	732	0	203.4	271.379	36.62	NA	3	NA	180	90
65	1	65	525	735	0	184.9	274.379	38.419	NA	3	NA	90	-90
66	1	66	528	741	0	76.9	281.087	40.361	NA	6.708	NA	63.435	-26.565
67	1	67	528	741	0	195.9	281.087	40.361	NA	0	NA	0	-63.435
68	1	68	528	741	0	214.5	281.087	40.361	NA	0	NA	0	0
69	1	69	528	741	0	211.9	281.087	40.361	NA	0	NA	0	0
70	1	70	528	738	0	61.9	284.087	38.184	NA	3	NA	-90	-90
71	1	71	528	747	0	217.6	293.087	45	NA	9	NA	90	180
72	1	72	528	750	0	213.9	296.087	47.434	NA	3	NA	90	0
73	1	73	528	750	0	220.9	296.087	47.434	NA	0	NA	0	-90
74	1	74	528	750	0	215.6	296.087	47.434	NA	0	NA	0	0
75	1	75	528	750	0	215.2	296.087	47.434	NA	0	NA	0	0
76	1	76	528	747	0	194.5	299.087	45	NA	3	NA	-90	-90
77	1	77	528	747	0	224.7	299.087	45	NA	0	NA	0	90
78	1	78	528	738	0	202.3	308.087	38.184	NA	9	NA	-90	-90
79	1	79	528	735	0	196.6	311.087	36.125	NA	3	NA	-90	0
80	1	80	528	735	0	202.3	311.087	36.125	NA	0	NA	0	90
81	1	81	528	735	0	205.3	311.087	36.125	NA	0	NA	0	0
82	1	82	528	726	0	2	320.087	30.887	NA	9	NA	-90	-90
83	1	83	528	723	0	0	323.087	29.547	NA	3	NA	-90	0
84	1	84	531	723	0	2	326.087	26.833	NA	3	NA	0	90
85	1	85	537	735	0	114.3	339.504	30	NA	13.416	NA	63.435	63.435
86	1	86	537	735	0	39.9	339.504	30	NA	0	NA	0	-63.435
87	1	87	537	735	0	88.2	339.504	30	NA	0	NA	0	0
88	1	88	531	732	0	38.4	346.212	31.89	NA	6.708	NA	-153.435	-153.435
89	1	89	531	741	0	186.3	355.212	38.419	NA	9	NA	90	-116.565
90	1	90	531	750	0	217.9	364.212	45.793	NA	9	NA	90	0
91	1	91	531	753	0	217.9	367.212	48.374	NA	3	NA	90	0
92	1	92	534	753	0	210.9	370.212	46.957	NA	3	NA	0	-90
93	1	93	534	753	0	207.2	370.212	46.957	NA	0	NA	0	0
94	1	94	528	750	0	217.5	376.92	47.434	NA	6.708	NA	-153.435	-153.435
95	1	95	528	753	0	199.4	379.92	49.93	NA	3	NA	90	-116.565
96	1	96	528	750	0	231.5	382.92	47.434	NA	3	NA	-90	-180
97	1	97	528	735	0	25.5	397.92	36.125	NA	15	NA	-90	0
98	1	98	528	729	0	41.7	403.92	32.45	NA	6	NA	-90	0
99	1	99	528	729	0	50.4	403.92	32.45	NA	0	NA	0	90
100	1	100	528	726	0	1.5	406.92	30.887	NA	3	NA	-90	-90
101	1	101	528	741	0	225.7	421.92	40.361	NA	15	NA	90	180
102	1	102	528	738	0	183.1	424.92	38.184	NA	3	NA	-90	-180
103	1	103	531	747	0	14	434.407	43.267	NA	9.487	NA	71.565	161.565
104	1	104	531	750	0	14	437.407	45.793	NA	3	NA	90	18.435
105	1	105	531	738	0	203.5	449.407	36.125	NA	12	NA	-90	-180
106	1	106	531	741	0	189.5	452.407	38.419	NA	3	NA	90	180
107	1	107	528	747	0	200.4	459.115	45	NA	6.708	NA	116.565	26.565
108	1	108	528	753	0	201.8	465.115	49.93	NA	6	NA	90	-26.565
109	1	109	525	753	0	163	468.115	51.614	NA	3	NA	180	90
110	1	110	537	765	0	231.7	485.086	56.921	NA	16.971	NA	45	-135
111	1	111	528	765	0	223.4	494.086	60.374	NA	9	NA	180	135
